node,in_degree,out_degree,pagerank,betweenness,clustering
wakabando,356,1,0.0306164143045233,0.0,0.0011673629884492505
_james041,2784,0,0.019176445517868942,0.0,0.0007211385418554197
c_nyakundih,970,10,0.008739989627952712,0.0017934691067757887,0.0004094526550931505
ngartia,746,34,0.008483798483971964,0.003095049843022431,0.004907845293996125
iamrapcha,1322,0,0.008380444959669667,0.0,0.00015281729600710237
fgaitho237,1183,19,0.008229736066646062,0.00021642326833646086,0.0010164897221594759
williamsruto,769,0,0.007240622625596551,0.0,0.0011860231730681508
itskipronoh,876,0,0.007057380544585376,0.0,0.0001501732111469479
sholard_mancity,938,0,0.006870811784644511,0.0,0.00011614401858304297
wanjiru2027,651,0,0.005846360985128424,0.0,0.0012051782038782365
nyandia_g,693,1,0.004664682658220323,3.252109905450854e-06,0.0006618375110740528
atwoliiya,305,0,0.004574910629281123,0.0,8.97847410832529e-05
propesatv,144,3,0.004565476816876915,1.7926264356875434e-05,0.01171634121274409
nickmuthumbi,551,1,0.004534160302615295,7.773335871565455e-06,0.00031588273816402786
honeyfarsafi,598,11,0.00415212829506811,0.0016051408265571607,0.002084065097763728
fit_ermined,479,14,0.004120326618560193,0.0019356779016402091,0.0043614598122631585
mckennamk,477,0,0.004016347233646215,0.0,6.718108180736304e-05
ambokojh,157,5,0.00397766782100285,3.312392918332382e-05,0.0008341153164424981
wanjirunjira,539,6,0.003734225714456603,0.0009530091785660031,0.004968047825190682
migunamiguna,570,0,0.0036997664996769766,0.0,4.498223201835275e-05
mishbosslady__,90,11,0.003570365824040837,0.0006345222231287343,0.00891089108910891
missmutukut,347,1,0.003305131771457053,0.00015639951773589695,0.00020764511562057573
bobthebuil19383,544,0,0.0032656552602874905,0.0,0.0008497919474887183
bonifacemwangi,373,0,0.0032506646382063535,0.0,0.0019548365352207615
moneyacademyke,289,0,0.0031072974970718548,0.0,0.00017542540661103176
kimuzi_,350,2,0.002825602963557784,0.00021102227298686467,0.00013963798851477545
citizentvkenya,266,3,0.0027247030533104517,5.139920045688178e-05,0.0007599708171206226
adelleo,78,6,0.0026464214340971496,0.0003955834761088902,0.0030864197530864196
kenyans,162,0,0.0026261113956527063,0.0,0.0005027230833682447
polo_kimanii,361,0,0.002525822680383155,0.0,0.00015802503818938422
otienowill,138,0,0.002517166964300421,0.0,0.001122208506340478
dukeofsavannah,300,0,0.0022942528410453567,0.0,0.00017419001642363013
a_njambi,291,0,0.002220055204530933,0.0,0.00045453330124862974
ntvkenya,202,4,0.0022000156662492967,4.9685893774985726e-05,0.0011793057478336666
zolesa_ke,213,0,0.0021962601112909697,0.0,0.0006900993743099006
luhyaheat,126,0,0.0021954960174301818,0.0,0.00038095238095238096
manlikesaiya,236,0,0.0021762003780740505,0.0,0.001936586292006835
kewatching,389,0,0.002160802109403645,0.0,0.00029474072027263514
bevalynekwambo3,394,0,0.002143765477007588,0.0,0.00016752523348829418
thenairobitimez,117,0,0.0021410348538489104,0.0,0.0002998500749625187
georgenjoroge_,142,5,0.0021122827699727085,0.00011463562771386873,0.0019157088122605363
kenyansays,340,0,0.0020906545028072368,0.0,0.000453458652815566
shiko_tyras,70,1,0.002088691156093095,0.0003303826384922901,0.002012072434607646
quincywandera,204,1,0.0020640259962872096,6.345580303318738e-07,0.0009229349330872173
amenya_nelson,252,0,0.001993856875150001,0.0,0.00016457654455087061
datawizz_,199,0,0.0019518525698404697,0.0,0.0011573436208321853
wakenyaforkenya,128,0,0.0019386181970597748,0.0,0.025521267723102585
mtunecessary,103,5,0.0019335594534562602,0.0005950617787568103,0.0009706853038245001
standardkenya,281,9,0.0018638258004115601,0.0001323053493241957,0.00027950136955671084
kibet_bull,295,27,0.0018341925657369771,0.0011566088806808394,0.005513750480193433
muthonzzz,175,0,0.00181327713665803,0.0,0.0002627257799671593
wanjiruchege_,111,0,0.0017957965149035602,0.0,0.0004914004914004914
chris_okinda,109,3,0.0017913842937272964,1.9036740909956216e-07,0.0005824111822947001
dci_kenya,258,0,0.0017490452005411862,0.0,0.0045165607226497154
shobanes,193,3,0.001736125903967818,0.0005716320832540136,0.0014222323358743885
indimulii_,115,0,0.0017344224725332215,0.0,0.001983218916857361
aokootieno_,238,1,0.0017100475802445162,3.807348181991243e-07,0.00036998668047950276
kuwamocho_,208,0,0.0016826205027228812,0.0,0.0001990049751243781
captaindominico,141,0,0.0016529229705615817,0.0,0.00010277492291880781
npsofficial_ke,221,0,0.0016510359706496155,0.0,0.005060728744939271
murumba_,63,0,0.0016095921129777454,0.0,0.0
och1eng,44,0,0.0016000460739925924,0.0,0.0010570824524312897
okiyaomtatah,161,0,0.001580634920563409,0.0,0.004705472289996514
karenmwakio,98,1,0.0015642365154595785,1.323053493241957e-05,0.0008245722531436817
king__kalala,147,1,0.0015049836509848668,0.0,9.318796011555308e-05
luhya_kidd,148,0,0.001481454167289448,0.0,0.0023946360153256703
njiruadv,151,0,0.00147684395586253,0.0,0.0007255577725376383
mutumaonkanata,178,0,0.0014530403813291088,0.0,0.0003360666756284447
okiyanotomtatah,89,0,0.0014393538483416372,0.0,0.0
nancy_okil,92,18,0.0014308646474440055,0.00023587791103496413,0.01311769991015274
wanjikureports,140,0,0.0014280348051576807,0.0,0.00010578652279699566
justinewanda,152,42,0.0014233510882992932,0.0017636549333865162,0.01487012987012987
jopangaa,131,0,0.0014152311597929893,0.0,0.00011743981209630065
mugurenjehia,166,20,0.0014120896741954317,0.0009153843973698468,0.019814241486068113
justrubyv,120,0,0.0014014793278074526,0.0,0.0
nziokamul1,235,0,0.0013938048405993512,0.0,0.0009271378708551484
__spence_r,170,0,0.0013645497939622465,0.0,0.0
kayyyhope,193,0,0.001348545394792361,0.0,0.0007240323029796714
hkuriah,120,0,0.0013436282952645998,0.0,0.0002897291032884253
jmuragengunjiri,141,0,0.0013350043304284497,0.0,0.0
shad_khalif,134,0,0.0013228529635765198,0.0,0.0012531328320802004
akinyimaikoo,102,12,0.001293436615685702,0.0003459755423204881,0.0068796068796068794
ellewoodsclon3,131,0,0.0012523458467365296,0.0,0.0
washikaken,1,0,0.0012507026020971343,0.0,0.0
njeriwanjeri,116,0,0.0012303108969315612,0.0,0.0016781083142639206
nyokaffiii,142,6,0.001219490280027454,0.0001436115114870112,0.005108956313210301
lynn_ngugi1,127,0,0.0011706976083763901,0.0,0.00012698412698412698
railaodinga,96,0,0.0011678077779834813,0.0,0.010033444816053512
educated__fool_,85,0,0.0011530955333174837,0.0,0.0
katheunzyimi,137,0,0.0011374971886410233,0.0,0.0
wayne_gakuo,201,0,0.0011356843057390576,0.0,0.0010240072818295596
bernardkavuli,134,17,0.001113202527380498,0.0003018705864222712,0.008758210822646231
bibiyacurrry,110,0,0.0011046620151847265,0.0,0.00016989466530750936
colettaaluda_1,99,0,0.0011011742951748049,0.0,0.0006311803071744162
_easterbunny__,118,1,0.0010970992674631237,1.6371597182562345e-05,0.0
kianangih,126,0,0.0010957126951611693,0.0,0.0
jumuiyan,112,0,0.001093970509617758,0.0,0.0008816787162757891
kariukikawira,90,1,0.0010900922007377083,1.5990862364363222e-05,0.001221001221001221
mwagiadv,69,4,0.0010886017911407135,4.7823273665649454e-05,0.007243460764587525
waithera_jk,129,0,0.0010845764485337545,0.0,0.0005079365079365079
willieoeba,133,0,0.001065907431101602,0.0,0.002059108527131783
mwende_kyalo_,100,0,0.0010639723861722034,0.0,0.0
daguindd,138,4,0.0010619334929909507,3.5867486153037254e-05,0.003962047753101866
simplywangui,84,2,0.001033852456268977,3.807348181991243e-07,0.0
jaokoomoses,20,7,0.0010216892281956975,0.0014672334973020286,0.05138339920948617
queengathoni,32,0,0.0010151758543598306,0.0,0.0064516129032258064
sokoanalyst,110,0,0.0010015667514094602,0.0,0.0006922810661128419
mama_hawi,76,2,0.000995414756387998,0.0005243733739450473,0.004329004329004329
its_murugi,86,0,0.000987460496981511,0.0,0.0
nyamisa_chela,143,2,0.0009814867617621889,0.00017854287346006362,0.0016511266511266512
_ndunge_,1,0,0.0009777031916148762,0.0,0.0
tettyanaa,80,0,0.0009559334336419911,0.0,0.0
kenyasgossips,140,0,0.0009551440059255604,0.0,0.0
thuso1africa,129,0,0.0009484146931672837,0.0,0.00036909448818897637
nahashonkimemia,100,24,0.0009401573236885802,0.00020246314275440493,0.005241605241605242
mosesngigeke,24,0,0.0009335176396103959,0.0,0.007246376811594203
ktnnewske,105,2,0.0009245714279085934,3.274319436512469e-05,0.0020537714712471995
njeriwamigwi,77,2,0.0009230166211222233,0.00033815778738679943,0.023044466082440766
luckyaudreyy,42,0,0.0009195023380540917,0.0,0.003658536585365854
farhiiiyaaa___,95,0,0.0009054968362453958,0.0,0.0004575611988103409
bhadgurlrih,139,0,0.0009048113651510477,0.0,0.0
m_uthoni__,87,1,0.0009040848580513716,7.80506377308205e-06,0.0011474469305794606
bookten8,116,3,0.0009029979357211979,4.77822196839901e-05,0.0005697194131890044
fcdoneilwigan,16,0,0.0008927011657433867,0.0,0.13333333333333333
nocountryhere,214,0,0.0008813036100028353,0.0,0.00026576307222111485
ayubabdikadir,10,0,0.0008708447674833884,0.0,0.17777777777777778
