node,in_degree,out_degree,pagerank,betweenness,clustering
0,48577,0,0.13389540336113137,0.0,0.00010689110650421023
_james041,2612,0,0.00475157436516923,0.0,0.0004901283130788856
1,534,0,0.004342262366452088,0.0,0.0007136803604085821
fgaitho237,1137,11,0.0025680331644365433,5.855611554250388e-05,0.00019850308316006729
iamrapcha,1302,0,0.002456884443812195,0.0,0.00015443579143634704
itskipronoh,855,0,0.0021119043262969217,0.0,0.00014597240765465064
sholard_mancity,925,0,0.002081494203590878,0.0,7.325001144531429e-05
c_nyakundih,795,28,0.0019318102453556023,0.00106760094410398,0.0031247744822111567
ngartia,738,89,0.0019088834216801826,0.003281505249956379,0.0063581112669471715
2,189,0,0.0016567464009712791,0.0,0.0013633265167007499
nyandia_g,688,6,0.001399339925075959,3.717078720055029e-05,0.00040648288081713484
atwoliiya,291,0,0.001364885910773553,0.0,2.45368666421298e-05
nickmuthumbi,549,5,0.001357468233352596,2.7007244555559964e-05,0.004196734344422701
migunamiguna,558,0,0.0013157895011241623,0.0,2.3573785950023575e-05
mckennamk,474,0,0.0012016012783785269,0.0,6.807285740681312e-05
wanjiru2027,622,0,0.001162766404212857,0.0,0.0007325846318395932
3,114,0,0.0011489534504407954,0.0,0.001939693175806736
5,45,0,0.0010000174073878047,0.0,0.005285412262156448
missmutukut,344,3,0.0009640513495415458,0.00035887793481348775,0.006381766381766382
bobthebuil19383,535,0,0.000948046760116184,0.0,0.0008688878235858102
4,59,0,0.000882561642112003,0.0,0.005590496156533892
fit_ermined,423,30,0.0008792830763496938,0.001205081519359864,0.008327180740973845
moneyacademyke,270,0,0.0008337307200826107,0.0,0.00011522064754003918
kimuzi_,336,5,0.0008332981250296429,3.0226067171977722e-05,0.006209442828373238
wanjirunjira,506,14,0.0007938567540517478,7.8217964711045e-05,0.009327153661686035
bonifacemwangi,320,3,0.0007867171856905152,2.0635739513472755e-05,0.0011143255116254152
honeyfarsafi,323,24,0.0007781111388817428,0.0012016129387850485,0.006934080733811378
bevalynekwambo3,378,0,0.0006965058417374344,0.0,0.00016468298525338724
polo_kimanii,333,0,0.0006950347771959816,0.0,4.148947204646821e-05
dukeofsavannah,295,0,0.0006902831121158093,0.0,7.680491551459293e-05
wakabando,337,4,0.0006737172442497525,1.4065813899140617e-05,0.0067765285692284
kewatching,389,0,0.0006665596237241173,0.0,0.00027631942525559546
quincywandera,203,8,0.0006410040364015061,2.6456076299324046e-07,0.010101010101010102
citizentvkenya,190,6,0.0006343561521852356,2.314906676190854e-06,0.010526315789473684
kenyansays,320,0,0.0006087638467956111,0.0,9.350600776099864e-05
manlikesaiya,235,0,0.0006069930616040601,0.0,0.0018386577798207308
zolesa_ke,212,0,0.0005911355396649475,0.0,0.0006967670011148272
kayyyhope,192,0,0.0005826969213726316,0.0,0.0006754474839581223
a_njambi,289,0,0.0005622583406574691,0.0,0.00046125461254612545
amenya_nelson,219,0,0.0005542750413334219,0.0,4.346881112801565e-05
georgenjoroge_,141,3,0.0005439390786091949,7.936822889797213e-06,0.0007092198581560284
muthonzzz,175,0,0.0005418520544616623,0.0,0.0002627257799671593
http://twitter.com/muthonzzz/statuses/1937849312039280665,173,0,0.0005374533174990301,0.0,0.00026885334050275576
6,33,0,0.0005352334988528647,0.0,0.0
mutumaonkanata,177,0,0.0005250707768242439,0.0,0.0003399972800217598
ambokojh,152,5,0.0005192129740034142,2.3832515399641082e-05,0.0006079027355623101
mishbosslady__,90,30,0.0005110684181209483,0.000505662230234634,0.02325962325962326
http://twitter.com/mckennamk/statuses/1934065773279891823,136,0,0.0005082890045652551,0.0,0.0
kuwamocho_,203,0,0.0004975422208765599,0.0,0.00015698587127158556
51,3,0,0.0004938429337438945,0.0,0.0
luhyaheat,124,0,0.0004916268138877275,0.0,0.0003933910306845004
king__kalala,146,3,0.0004788145117239569,1.0582430519729618e-06,0.013421584850156279
datawizz_,199,0,0.0004774863424800436,0.0,0.0008817856158721411
http://twitter.com/luhyaheat/statuses/1937869838875337072,113,0,0.00047500283868683757,0.0,0.0004740834386852086
aokootieno_,204,4,0.00046737345982071025,0.0,0.009852216748768473
okiyanotomtatah,88,0,0.00045224206350313417,0.0,0.0
http://twitter.com/wanjiruchege_/statuses/1937410032401834332,111,0,0.00044905464953922194,0.0,0.0003276003276003276
wanjiruchege_,111,0,0.00044905464953922194,0.0,0.0003276003276003276
captaindominico,135,0,0.00044851230090709945,0.0,0.00011222085063404781
http://twitter.com/okiyanotomtatah/statuses/1932011067355361488,87,0,0.0004451969000667898,0.0,0.0
http://twitter.com/king__kalala/statuses/1937824372711997477,129,0,0.0004451068312053901,0.0,0.0
justrubyv,120,0,0.00044316726859847127,0.0,0.0
7,19,0,0.0004415082580257967,0.0,0.0
kibet_bull,243,75,0.00044138656558462725,0.0008320476940065022,0.010466716879204217
http://twitter.com/zolesa_ke/statuses/1937871237130420328,132,0,0.0004397880310000214,0.0,0.00011566042100393245
jopangaa,131,0,0.00043898985077991715,0.0,0.00011743981209630065
karenmwakio,98,3,0.0004377910052994945,1.1111552045716099e-05,0.0201980198019802
http://twitter.com/karenmwakio/statuses/1934955999443681683,97,0,0.00043477164954106116,0.0,0.0002147766323024055
http://twitter.com/justrubyv/statuses/1937767047741784180,117,0,0.00043119049075668575,0.0,0.0
jmuragengunjiri,140,13,0.0004306032003614562,0.0,0.0010131712259371835
indimulii_,115,1,0.0004259619344230965,4.431392780136778e-06,0.002098950524737631
22,5,0,0.00042585036943463384,0.0,0.1
propesatv,129,10,0.0004251835325060743,3.3213399120776395e-05,0.026771474139895193
wanjikureports,138,0,0.0004235419930625815,0.0,0.00010893246187363834
shiko_tyras,70,4,0.00042277439656716485,1.541066444435626e-05,0.0289193302891933
standardkenya,201,6,0.00042180108252502937,1.150839319020596e-05,0.009897974722095325
http://twitter.com/quincywandera/statuses/1937580960268321057,110,0,0.0004199825363265545,0.0,0.0
__spence_r,167,0,0.00041917139253802306,0.0,0.0
http://twitter.com/shiko_tyras/statuses/1938213551480705116,68,0,0.00041220665141264814,0.0,0.001755926251097454
mtunecessary,100,13,0.00041133075835777166,0.0007607665207173121,0.01958670260557053
hkuriah,120,0,0.0004107137703119961,0.0,0.0002897291032884253
http://twitter.com/georgenjoroge_/statuses/1937868346663288838,89,0,0.00040997288641454613,0.0,0.0010214504596527069
8,19,0,0.0004095187209151371,0.0,0.014705882352941176
ntvkenya,140,7,0.00039936900077259315,1.746101035755387e-05,0.014285714285714285
ellewoodsclon3,131,0,0.00039622555063041436,0.0,0.0
http://twitter.com/iamrapcha/statuses/1937863184376795455,138,0,0.0003950313897723704,0.0,0.0
nziokamul1,228,0,0.00039449370443968653,0.0,0.0008813160987074031
otienowill,113,0,0.00039274796165562046,0.0,0.00048262548262548264
http://twitter.com/atwoliiya/statuses/1931951513565335889,68,0,0.0003906438179062299,0.0,0.0
thenairobitimez,106,1,0.0003905455299312368,3.9684114448986067e-07,0.00035938903863432165
kenyans,98,0,0.00038752712231262024,0.0,0.0006718924972004479
http://twitter.com/missmutukut/statuses/1937853930169385268,91,0,0.00038198832940028693,0.0,0.0
http://twitter.com/captaindominico/statuses/1938827150741893548,96,0,0.0003801341767234177,0.0,0.0002192982456140351
shobanes,186,8,0.0003747249503546688,3.0027646599732794e-05,0.011868390129259694
njiruadv,138,0,0.0003725026822599722,0.0,0.0
thuso1africa,129,0,0.00036895946857852963,0.0,0.00036909448818897637
katheunzyimi,135,0,0.00036636577759129046,0.0,0.0
http://twitter.com/atwoliiya/statuses/1942240408899051989,63,0,0.0003646891492985241,0.0,0.0
http://twitter.com/nickmuthumbi/statuses/1937850041877856709,130,0,0.000364628043161999,0.0,0.00011926058437686345
justinewanda,151,96,0.00036113276414897767,0.0017135603768605077,0.01693467336683417
http://twitter.com/missmutukut/statuses/1937836077961629982,93,0,0.0003586928336542045,0.0,0.0
http://twitter.com/indimulii_/statuses/1937759392633393237,89,0,0.00035854764521535605,0.0,0.0
81,1,0,0.00035506468878648487,0.0,0.0
bibiyacurrry,109,0,0.0003502493437450363,0.0,0.00017307026652821047
_easterbunny__,118,3,0.00034749770216076155,1.164067357170258e-05,0.016391184573002756
lynn_ngugi1,116,0,0.0003468522113293631,0.0,0.0
murumba_,63,0,0.0003446514437298542,0.0,0.0
http://twitter.com/murumba_/statuses/1943217739918905457,63,0,0.0003446514437298542,0.0,0.0
http://twitter.com/nickmuthumbi/statuses/1937850253153042657,84,0,0.00034349148090948505,0.0,0.0
http://twitter.com/_easterbunny__/statuses/1937856055347675601,116,0,0.0003398120693211131,0.0,0.0
mwende_kyalo_,100,0,0.0003374390744110733,0.0,0.0
colettaaluda_1,96,2,0.0003368528948496678,5.875453611474882e-06,0.0006443298969072165
35,3,0,0.0003343960719348381,0.0,0.0
nyokaffiii,141,15,0.00033436097080112185,0.00016424499082541065,0.016996891996891996
kianangih,117,0,0.0003279310735021056,0.0,0.0
http://twitter.com/c_nyakundih/statuses/1938906510802796938,103,0,0.0003266775011224313,0.0,0.0
http://twitter.com/honeyfarsafi/statuses/1935405893660594626,108,0,0.0003243595488567783,0.0,0.00017307026652821047
simplywangui,83,6,0.0003216264670114278,0.0,0.02168234064785789
http://twitter.com/simplywangui/statuses/1937838347654742287,82,0,0.000319278079199313,0.0,0.0
wayne_gakuo,199,0,0.0003181470069299696,0.0,0.0010350181128169743
jumuiyan,112,0,0.00031606323983113916,0.0,0.0008816787162757891
http://twitter.com/mishbosslady__/statuses/1955159204827697555,11,0,0.00031382381980343935,0.0,0.05454545454545454
educated__fool_,85,0,0.00030988272025634554,0.0,0.0
http://twitter.com/educated__fool_/statuses/1937881437195374819,83,0,0.0003078343979279175,0.0,0.0
shad_khalif,131,0,0.0003076811024189902,0.0,0.0009540846750149076
its_murugi,84,0,0.00030753412498644604,0.0,0.0
http://twitter.com/kayyyhope/statuses/1938091278991859947,73,0,0.00030669176090340153,0.0,0.000380517503805175
kariukikawira,90,3,0.00030392507248184244,1.0582430519729619e-05,0.022907900888265546
32,4,0,0.00030384373756389547,0.0,0.16666666666666666
http://twitter.com/mwende_kyalo_/statuses/1937853543941099641,82,0,0.0003030765963050917,0.0,0.0
its_bahaa,97,0,0.00029977660332468196,0.0,0.001288659793814433
njeriwanjeri,116,0,0.0002995575737296666,0.0,0.0016781083142639206
http://twitter.com/wanjikureports/statuses/1937876154855129593,68,0,0.0002994611786648255,0.0,0.0
http://twitter.com/tettyanaa/statuses/1937434620083200387,80,0,0.0002992997999309063,0.0,0.0
tettyanaa,80,0,0.0002992997999309063,0.0,0.0
http://twitter.com/moneyacademyke/statuses/1958438931583889623,77,0,0.0002990277923756923,0.0,0.0003417634996582365
luhya_kidd,145,0,0.00029897222618905804,0.0,0.0021975826590750177
http://twitter.com/its_murugi/statuses/1937911151720906892,79,0,0.0002970502508252192,0.0,0.0
http://twitter.com/itskipronoh/statuses/1938615277391892603,91,0,0.0002963827063299671,0.0,0.0002442002442002442
nyamisa_chela,136,6,0.0002951860853381862,0.00021955015851599045,0.015827338129496403
chris_okinda,109,11,0.0002934202845511194,1.9180655317009934e-06,0.01973001038421599
nancy_okil,92,14,0.0002918853793932934,4.687134851030243e-05,0.027561540079949504
12,8,0,0.00029119950949670406,0.0,0.0
kenyasgossips,133,0,0.00028749720369928417,0.0,0.0
bhadgurlrih,139,0,0.0002866863701008176,0.0,0.0
waithera_jk,129,0,0.00028491677311628754,0.0,0.0005079365079365079
http://twitter.com/migunamiguna/statuses/1942708123569209370,83,0,0.0002846131296156357,0.0,0.0
bernardkavuli,107,24,0.00028435757576987655,4.762093733878328e-06,0.016341829085457272
nocountryhere,204,0,0.0002840618613663514,0.0,0.00021643460067816175
http://twitter.com/kariukikawira/statuses/1937725595040862233,75,0,0.0002838401474538104,0.0,0.00036036036036036037
adelleo,77,6,0.0002829567792292612,2.764659973279363e-05,0.026851851851851852
farhiiiyaaa___,95,0,0.00028287200121594725,0.0,0.0004575611988103409
http://twitter.com/bibiyacurrry/statuses/1937885506433413387,81,0,0.0002828479356181124,0.0,0.0
nahashonkimemia,94,59,0.00027967270409838877,0.0,0.015625
http://twitter.com/nasrayusuff/statuses/1937868863372251426,92,0,0.00027936024121961837,0.0,0.0
nasrayusuff,92,0,0.00027936024121961837,0.0,0.0
http://twitter.com/atwoliiya/statuses/1942219037242445848,52,0,0.0002781646030657419,0.0,0.0
mugurenjehia,163,23,0.0002777942096124745,0.00031999726620544926,0.020357847280924202
http://twitter.com/jopangaa/statuses/1937893008982134884,74,0,0.00027361422001254354,0.0,0.0
http://twitter.com/propesatv/statuses/1946147183725588812,11,0,0.00027259770903862726,0.0,0.0
http://twitter.com/c_nyakundih/statuses/1939180009567957321,92,0,0.0002723509410174514,0.0,0.0
willieoeba,115,0,0.0002679506682238325,0.0,0.0022522522522522522
bookten8,110,6,0.00026749941343631175,1.124383242721272e-06,0.016933638443935927
http://twitter.com/colettaaluda_1/statuses/1943326427316654373,64,0,0.00026610175617968623,0.0,0.0
muli_brian_,90,0,0.00026555240422932006,0.0,0.0
658,1,0,0.0002621382980620129,0.0,0.0
732,1,0,0.0002621382980620129,0.0,0.0
11,14,0,0.0002594724049327882,0.0,0.0
http://twitter.com/_james041/statuses/1959620306290590054,80,0,0.0002589323112129174,0.0,0.0012658227848101266
naranonataly,80,0,0.0002576360176741668,0.0,0.0
http://twitter.com/njeriwanjeri/statuses/1937881797737533875,108,0,0.0002572117575973339,0.0,0.00034614053305642093
sokoanalyst,101,0,0.0002566656770223354,0.0,0.00041228612657184083
